Algorithm,Dataset,RMSE,MSPE,MAE,MAPE,MedAE,MedAPE,R2
Linear Regression,Train set,0.007680884841962673,33830.738483312736,0.005305832634212008,5.019256440273534,0.003859415240066943,0.3692872708082265,0.59314392033051
Linear Regression,Test set,0.007689277670654339,37815.3826161345,0.00530573270163217,5.531618880072363,0.003857712763789705,0.36817920551864114,0.5924929559712454
Linear Regression,Entire population,0.007682564145274717,34627.66924297861,0.0053058126476475615,5.121729176799689,0.0038591247375067087,0.36904684798558285,0.5930136708418174
Random Forest,Train set,0.00037983349887131995,0.013222705212111694,0.00019436194071051314,0.01917131466407362,9.828466169085155e-05,0.010978167582512292,0.9990050418118174
Random Forest,Test set,0.0006843689854992919,0.04912013894124755,0.0003486748176372601,0.035030425596599905,0.00017392486149027386,0.019380807169121536,0.9967719171581079
Random Forest,Entire population,0.00045726483396560136,0.020402209373141012,0.0002252245909588728,0.022343144544433122,0.00010941346752073051,0.012200019272239175,0.9985582065854384
XGBoost,Train set,0.004610609571355145,1044.452520652693,0.003253260168111456,1.2519613655369088,0.0022948976160762913,0.25194206503140626,0.8533996533108144
XGBoost,Test set,0.0046090737893638885,982.4862381427894,0.0032546692516653487,1.3193615883654135,0.0022928692075032306,0.25227683079036434,0.8535830506354432
XGBoost,Entire population,0.004610302455139825,1032.0592340885264,0.0032535419855058345,1.2654414428010063,0.0022944898819103852,0.2520160192585717,0.8534363517367729
LightGBM,Train set,0.004516882678910705,649.2478186920962,0.0031170716936420573,0.7239733085121987,0.0021461719940275284,0.23623190991382687,0.8592994085316037
LightGBM,Test set,0.0045224228878769325,178.86521571855488,0.0031216462181936715,0.7199642540332515,0.002147793068827436,0.23721558397469011,0.8590365979150483
LightGBM,Entire population,0.0045179912668894115,555.1710698970052,0.0031179866007716535,0.7231714956714655,0.0021464953768953665,0.236417984133379,0.8592468232791883
CatBoost,Train set,0.0013783673139031566,31.330409973145255,0.0009076614669078069,0.19586771477041204,0.000592115373606969,0.06624877147335749,0.9868976790349293
CatBoost,Test set,0.0014022849028837458,36.27907152094558,0.0009164250735248399,0.20669330028451333,0.0005940639076215033,0.06663156024920856,0.9864469653492078
CatBoost,Entire population,0.0013831839298029868,32.320144683488124,0.0009094141924827704,0.19803283712513314,0.0005924958464648506,0.0663248557358928,0.9868074940022883
