Algorithm,Dataset,RMSE,MSPE,MAE,MAPE,MedAE,MedAPE,R2
Random Forest,Train set,0.0006477252499854423,0.7707461383281419,0.0003481381234355438,0.05291269553575443,0.00018876424911272796,0.022482514205024257,0.9969064098613973
Random Forest,Test set,0.0029872553378676534,29.3280085230098,0.0019563387879000522,0.34534953857134315,0.0012611634677693884,0.11606938972310155,0.9444815432558841
Random Forest,Entire population,0.0018302103436362695,10.61021214934886,0.0009022471120263934,0.15367243709145584,0.0003223416858021519,0.035950788506679585,0.9769022624586083
