Algorithm,Dataset,RMSE,MSPE,MAE,MAPE,MedAE,MedAPE,R2
Linear Regression,Train set,0.007262920237025807,35581.1819018766,0.00499496466836098,5.194078840888145,0.0036188967628742385,0.3701888831081021,0.611041139281767
Linear Regression,Test set,0.09278089972509593,1124326.3088825028,0.09239336096345484,42.867948632186604,0.09183599972587991,8.294749771990809,-52.556212141106734
Linear Regression,Entire population,0.05477756393275823,410710.65080141206,0.03510826958461166,18.17469148931703,0.0066187689556990465,0.7997280162246687,-19.690589290165708
Random Forest,Train set,0.00016988275821346085,0.001118077839572518,8.571654902896365e-05,0.009016696529460903,4.215143625345679e-05,0.005032794381110177,0.9997871960292738
Random Forest,Test set,0.002423542680109262,0.42257898690106876,0.001268966904626429,0.11649114179911109,0.0005991092890102459,0.06064172443286335,0.9634578548424186
Random Forest,Entire population,0.001429217869679919,0.1463333381058698,0.0004934079971656239,0.04604724718375877,8.305192141570827e-05,0.009321145077980559,0.9859147582155602
XGBoost,Train set,0.001834909408170125,376.9222710422373,0.0012302509315723488,0.28612607816275354,0.0008089010788814438,0.09674114452304242,0.9751737928416149
XGBoost,Test set,0.0030905549893483876,21.190839358418472,0.002012040344637938,0.31329263680336944,0.001255427614272945,0.12635845285156896,0.9405754852101598
XGBoost,Entire population,0.0023447436298265215,254.35424319856622,0.0014996181508111566,0.2954863742156457,0.0009337237703450642,0.10603033716724787,0.9620896180069203
LightGBM,Train set,0.0024108059494209635,650.6688395362306,0.0016386639086977785,0.37577898659012055,0.001103953430900612,0.13118082645034962,0.9571445924846399
LightGBM,Test set,0.0032902394149807177,68.1151025223772,0.0022661139482793072,0.43773308873502365,0.001523437393007799,0.15028445278321637,0.9326484344592058
LightGBM,Entire population,0.0027458082595313953,449.94869984890437,0.0018548531657390176,0.3971254053779757,0.0012271685384423036,0.1374966830035489,0.9480114331767873
CatBoost,Train set,0.0023602781618727708,924.4619243666533,0.001602441198517667,0.5490083029261872,0.0010855463676706719,0.12701665289924355,0.9589221697016536
CatBoost,Test set,0.0033734413273065283,302.566869445119,0.002313066537831055,0.6124793237941263,0.0015434489591425746,0.15191258097188975,0.9291990612663026
CatBoost,Entire population,0.0027518145002823294,710.1866492056615,0.0018472886834955972,0.5708773793139112,0.0012152303974490427,0.13507535593683767,0.9477837425759079
