Algorithm,Dataset,RMSE,MSPE,MAE,MAPE,MedAE,MedAPE,R2
Linear Regression,Train set,0.00726134042155931,35547.78208205501,0.004993369516480823,5.190005610719811,0.0036161428437314676,0.37000311772004996,0.6112103319407469
Linear Regression,Test set,8126.66447281633,7209576134303188.0,4276.940570232498,1863286.8656121246,265.4656025652216,38092.60978801142,-410882223667.8061
Linear Regression,Entire population,4770.235370669676,2484074921903567.0,1473.632320561851,642002.8881435937,0.006620098961382792,0.799663105301069,-156908708518.13208
