Algorithm,Dataset,RMSE,MSPE,MAE,MAPE,MedAE,MedAPE,R2
Linear Regression,Train set,0.00726134040243113,35547.70313822554,0.004993302888668351,5.189979384537094,0.00361606527726557,0.36999961552430427,0.6112103339890845
Linear Regression,Test set,0.008521852605163442,16994.74027485506,0.00588369488802645,3.9538050635086677,0.004113560606334307,0.3633041509519608,0.5481849112667236
Linear Regression,Entire population,0.007718931108288034,29155.239986863187,0.005300089361970788,4.764052870587342,0.0037757244669516673,0.36773399136467977,0.5891514477830747
Random Forest,Train set,0.0001643614896024136,0.0013657370197180496,8.253309681847624e-05,0.008711877636635681,4.048173873986017e-05,0.004826373332661671,0.9998008037045886
Random Forest,Test set,0.0026226871413324625,0.4340817312067576,0.0013731799308538079,0.1246557447529089,0.000639789252762691,0.06467993438007758,0.9572057255358101
Random Forest,Entire population,0.0015452198765930987,0.15045896100859307,0.0005272282319703019,0.04866058575540905,8.092634753394199e-05,0.009091433837249242,0.9835355205975845
XGBoost,Train set,0.0017999023751326222,545.0712250502548,0.0012238859866317833,0.33889355619426986,0.0008173034473990238,0.09697034852006989,0.9761120423635179
XGBoost,Test set,0.003100970124065338,38.98546583669678,0.002031624312768943,0.3815838273699062,0.0013059976062086498,0.1276045579086848,0.940174290475726
XGBoost,Entire population,0.002331660253810382,370.6982911406468,0.0015021939595307745,0.3536025807000379,0.0009519307750070709,0.10626872930037254,0.9625115080413293
LightGBM,Train set,0.0023858484221780333,701.1111541356706,0.0016237714585895595,0.3956079471760588,0.001090869801515888,0.13008349251564327,0.9580273086905736
LightGBM,Test set,0.003352869617258786,67.27100069812771,0.002318776852174574,0.4491866518423699,0.0015451085791113655,0.15348457106940183,0.930059936132076
LightGBM,Entire population,0.002757598905114933,482.7201696583125,0.00186323705776142,0.4140686047971295,0.0012231717282699837,0.13779897054121382,0.9475639912658219
CatBoost,Train set,0.0023221180546730896,919.1177384795947,0.001574834861869488,0.5169001187349451,0.0010534996043866205,0.12407561505225684,0.9602396947066444
CatBoost,Test set,0.00328686794552625,120.36460330685206,0.0022638992676614266,0.5147041488438169,0.0015111526390956327,0.14874721557362297,0.9327863924479197
CatBoost,Entire population,0.0026938256205977177,643.9056324009591,0.0018122534809536066,0.5161434925985207,0.0011888709002376855,0.1321486531836789,0.9499612572329539
