Algorithm,Dataset,RMSE,MSPE,MAE,MAPE,MedAE,MedAPE,R2
Linear Regression,Train set,0.00726134042155931,35547.78208205501,0.004993369516480823,5.190005610719811,0.0036161428437314676,0.37000311772004996,0.6112103319407469
Linear Regression,Validation(CV),0.007261997715161113,38896.96867136178,0.004993863953699135,5.190174764483015,0.0036167459659116595,0.3699903640722396,0.6111361130505129
Linear Regression,Test set,8126.66447281633,7209576134303188.0,4276.940570232498,1863286.8656121246,265.4656025652216,38092.60978801142,-410882223667.8061
Linear Regression,Entire population,4770.235370669676,2484074921903567.0,1473.632320561851,642002.8881435937,0.006620098961382792,0.799663105301069,-156908708518.13208
Random Forest,Train set,0.0006477252499854423,0.7707461383281419,0.0003481381234355438,0.05291269553575443,0.00018876424911272796,0.022482514205024257,0.9969064098613973
Random Forest,Validation(CV),0.0009477924798118808,1.8695690821747462,0.0005067289411467784,0.07938461961732442,0.00027314229892578943,0.032335815074685685,0.9933749830334723
Random Forest,Test set,0.0029872553378676534,29.3280085230098,0.0019563387879000522,0.34534953857134315,0.0012611634677693884,0.11606938972310155,0.9444815432558841
Random Forest,Entire population,0.0018302103436362695,10.61021214934886,0.0009022471120263934,0.15367243709145584,0.0003223416858021519,0.035950788506679585,0.9769022624586083
XGBoost,Train set,0.00605160355661362,4346.055777123551,0.004210290829486899,1.9065116957142294,0.0029809970019733347,0.32811970786092637,0.7299637557935603
XGBoost,Validation(CV),0.00627544866368947,4990.28236489124,0.004361993877747642,2.1580888180020628,0.003091394924972569,0.34125670482163845,0.7096136536862823
XGBoost,Test set,0.007279394924809347,1439.5362049737785,0.0050772970860091865,1.7386405238943399,0.003573994162106433,0.3253085735158274,0.6703270935863908
XGBoost,Entire population,0.006500878904879988,3344.608223947909,0.004509019694931976,1.8486713233738463,0.0031485071689975625,0.32709884381461607,0.7085852138199797
LightGBM,Train set,0.003940211155797225,354.8186190443297,0.002712715290238829,0.8484460720971638,0.0017925544612816188,0.2195166335410022,0.8855225063097336
LightGBM,Validation(CV),0.004119357378209926,513.5470535980272,0.002838620684574107,0.9518727912837655,0.0018788406405048203,0.22878589750648345,0.8748741451422891
LightGBM,Test set,0.004947033842009332,252.85538463509596,0.0033813076929162175,0.797210456665437,0.0022236254145939272,0.2224642624836618,0.8477411811440199
LightGBM,Entire population,0.004313731002165759,319.6869679137382,0.0029430802367366284,0.8307927308978825,0.0019146498622246333,0.22054507045876798,0.8716861457091574
CatBoost,Train set,0.0009322527901392494,10.023110646837717,0.0006266555935703494,0.13323006676651136,0.00041157896794092393,0.04907190484970382,0.9935916163493658
CatBoost,Validation(CV),0.0010192296118049994,38.795992505921504,0.0006692813279175273,0.1547181445096811,0.00043106771086345966,0.05138753695795919,0.9923393637481966
CatBoost,Test set,0.0024519582703498377,16.56554652170891,0.0015293948826912622,0.25581877721482954,0.0009132812314156819,0.09045357809127387,0.9625959315428575
CatBoost,Entire population,0.0016251548718580035,12.277320961290282,0.0009376963520459539,0.17546826990877434,0.0005259913721535391,0.05992846167865768,0.9817880294474269
