Algorithm,Dataset,RMSE,MSPE,MAE,MAPE,MedAE,MedAPE,R2
Linear Regression,Train set,0.007680884801239664,33831.93041102344,0.0053056994638921474,5.01930374959431,0.00385930805898371,0.3692786288072705,0.5931439246447014
Linear Regression,Test set,0.007689276761579245,37817.22099037322,0.005305599082342744,5.53167876780984,0.003857594872705398,0.3681699614984887,0.5924930523273658
Linear Regression,Entire population,0.007682563930729114,34628.99046030851,0.0053056793875335675,5.121779001809907,0.0038589900753851795,0.36903540827703984,0.593013693573063
Random Forest,Train set,0.00024255390733671854,0.003849567899146099,0.00011271304455539383,0.011063025414844496,5.0197048616262147e-05,0.00554361887841859,0.9995942721191743
Random Forest,Test set,0.0006360183707557623,0.0170424383485339,0.0002979725735865623,0.02941180087575616,0.00013541245475191203,0.014905518420716645,0.9972119320641877
Random Forest,Entire population,0.0003577288912920337,0.00648814838938385,0.0001497650402380285,0.014732789408711448,5.9935268818505326e-05,0.0066174403598226236,0.9991175797532164
XGBoost,Train set,0.0019447414952702632,121.10860113376293,0.0013105996664833962,0.264336097696124,0.0008667900076134202,0.09714366113496442,0.9739179295193273
XGBoost,Test set,0.0019643455452103852,23.471198194918777,0.0013169564559490936,0.2656955358629405,0.0008668343477599192,0.09753135242195252,0.9734050116480553
XGBoost,Entire population,0.0019486780924812628,101.58107317839891,0.0013118710274604543,0.26460798598900204,0.0008668076539187736,0.09721590894876472,0.9738152979409995
LightGBM,Train set,0.0025563374032876746,193.07798136271128,0.001746341576760397,0.35844742506105737,0.0011795454659624376,0.1331076696785815,0.9549334148516797
LightGBM,Test set,0.0025564759557623836,31.98310898618605,0.0017469821974615716,0.35093609659568414,0.0011847781591647257,0.13317259779211196,0.9549549102308671
LightGBM,Entire population,0.002556365114450587,160.8589287341937,0.0017464697012114215,0.35694515572395336,0.0011805907921295616,0.13312171029664588,0.9549377164712028
CatBoost,Train set,0.0023586979058631712,200.04053588782753,0.0016213337847681177,0.494784878780097,0.0011151081636707836,0.12150444421152365,0.9616325491664631
CatBoost,Test set,0.002371508726345967,217.1773141714756,0.001623003705829193,0.5177837675305585,0.0011114264611360673,0.12173847022297685,0.9612373476690176
CatBoost,Entire population,0.0023612656365017393,203.46789985825612,0.0016216677697904758,0.49938466768782,0.0011143181259902703,0.1215439990525261,0.9615534720905495
