Algorithm,Dataset,RMSE,MSPE,MAE,MAPE,MedAE,MedAPE,R2
LightGBM,Train set,0.003940211155797225,354.8186190443297,0.002712715290238829,0.8484460720971638,0.0017925544612816188,0.2195166335410022,0.8855225063097336
LightGBM,Test set,0.004947033842009332,252.85538463509596,0.0033813076929162175,0.797210456665437,0.0022236254145939272,0.2224642624836618,0.8477411811440199
LightGBM,Entire population,0.004313731002165759,319.6869679137382,0.0029430802367366284,0.8307927308978825,0.0019146498622246333,0.22054507045876798,0.8716861457091574
