Algorithm,Dataset,RMSE,MSPE,MAE,MAPE,MedAE,MedAPE,R2
Linear Regression,Train set,0.007264978121480726,34097.57036054689,0.004994806710422613,5.026957994583954,0.0036182736446655544,0.3702104692834408,0.610936407149169
Linear Regression,Validation(CV),0.007266578578930522,37520.476421016545,0.004995687222179837,5.028514487042756,0.0036173032778098525,0.3703624515734968,0.6107531706406638
Linear Regression,Test set,0.008525914351317514,17337.08946809685,0.0058812577415661635,3.9821757741241997,0.004102667932893413,0.36375615227583064,0.5477541139677901
Linear Regression,Entire population,0.00792057834477999,25717.329914321876,0.005438032225994388,4.504566884354078,0.003848481486676188,0.36711098530417147,0.5790330369818533
Random Forest,Train set,0.0009584035282201936,0.27502956972586096,0.0005366480406218878,0.0624185929324869,0.00029477180684627565,0.03410860426724089,0.9932290629026307
Random Forest,Validation(CV),0.001216224257450332,0.702721690982898,0.0006642933992588798,0.07888289643428952,0.00035604733131270076,0.0414687401482929,0.9890957185358762
Random Forest,Test set,0.002367902567315439,1.1295372446639762,0.0013875743849588948,0.1435746884244698,0.0007412597108116918,0.07287702641930827,0.9651164760927295
Random Forest,Entire population,0.0018063083750018936,0.7022834071949182,0.0009621112127903911,0.10299664067847833,0.00045334287249754234,0.04988354582931866,0.9781063577518064
XGBoost,Train set,0.00679553385302213,12562.428827419346,0.004759404785186591,2.8226133890264014,0.003521731447976136,0.36802960812688945,0.6595924905410231
XGBoost,Validation(CV),0.00685443141516653,10338.221529440923,0.004831683831231455,2.989610481328211,0.0036523668126658255,0.3793012035992729,0.653647941584844
XGBoost,Test set,0.008077243302039183,4295.356064054376,0.005673149894904382,2.620460303009528,0.004092928987210229,0.36019691044436186,0.5941000259893827
XGBoost,Entire population,0.007463951356617573,8428.892445736858,0.005216277340045488,2.7215368460179636,0.0037775878901468293,0.36409259279804806,0.6261720002571587
LightGBM,Train set,0.0050111551680574705,1436.8854882280834,0.003468667119107754,1.4499610732076194,0.0023566050707338007,0.27782221912694616,0.8148909411006545
LightGBM,Validation(CV),0.005208426108355512,2644.7374427545956,0.0036125668492264715,1.6703800340774997,0.002499789933323378,0.285570885634365,0.8000262501251978
LightGBM,Test set,0.006243181289866137,880.4171705967942,0.004265081914384941,1.343821402484657,0.0027856522129449833,0.27517414577843125,0.757503996148787
LightGBM,Entire population,0.005660785667046744,1158.6513294124393,0.003866874516746347,1.3968912378461382,0.002535570567804056,0.27642263238826836,0.7849756471015431
CatBoost,Train set,0.0013902820098584173,39.18147568630341,0.000923333238632837,0.24682101385799213,0.0006089793844808393,0.07170224573039435,0.9857518729970153
CatBoost,Validation(CV),0.0014339054969386448,200.76638780007153,0.0009463974979506011,0.2934550876097112,0.0006213017461365324,0.07325801622466799,0.984842254252348
CatBoost,Test set,0.0023621345630168537,42.94275487545357,0.0015920498220814568,0.31291805657545607,0.001048364410619753,0.10297111701258174,0.965286215553854
CatBoost,Entire population,0.0019381129689384443,41.062115280878494,0.001257691530357146,0.2798695352167242,0.0007880181113050742,0.08579006002071006,0.9747946692074919
