Algorithm,Dataset,RMSE,MSPE,MAE,MAPE,MedAE,MedAPE,R2
Linear Regression,Train set,0.007294793633362886,37564.51171903456,0.005013092812664227,5.061197668225398,0.0036417649567187134,0.3704178890926147,0.6082209762141886
Linear Regression,Validation(CV),0.007296216985696697,38772.5216038107,0.005013856837807848,5.061742392680413,0.003640261310866527,0.37042971979487965,0.6080621533099185
Linear Regression,Test set,0.7888407296565599,66196662.20076125,0.7887949990604545,348.2852640656061,0.7882167060963071,73.46166969161848,-3870.429420022008
Linear Regression,Entire population,0.5578184788886288,33117113.356240116,0.3969040459365593,176.67323086691565,0.4201201687364785,13.91883006934304,-2085.9536453306923
Random Forest,Train set,0.0003343173023774225,0.1944339193791685,0.00017677101643963618,0.022362933883750685,9.07254876819294e-05,0.010882501332046565,0.9991771268976335
Random Forest,Validation(CV),0.0009491728735318835,0.5777711299669283,0.0004664293185282233,0.06057334949282123,0.00021801795209851422,0.025881495094971875,0.9933654061446419
Random Forest,Test set,0.0024021684964070735,6.778439114290396,0.0015095739539117122,0.2207275126875811,0.0008920166145384642,0.08584820052198389,0.9640995718606242
Random Forest,Entire population,0.0017149608659965884,3.4864365168347833,0.0008431724851756743,0.12154522328566587,0.0002584934144859042,0.0281180029840929,0.9802741631350868
XGBoost,Train set,0.007527403132365219,17218.953193788027,0.0053369901723542106,3.2385465775419613,0.004070236646203377,0.41906192517471363,0.5828372614410542
XGBoost,Validation(CV),0.007755693735664271,13989.98938485658,0.00551604924954906,3.441881516772964,0.004217393671974112,0.43111704811804524,0.5571432978267121
XGBoost,Test set,0.008775021424021114,4223.258993981694,0.006146659515021774,2.734303379379073,0.004479246654438683,0.38772094110580013,0.5209409325869503
XGBoost,Entire population,0.008175047367115716,10721.106093884862,0.005741824843687991,2.9864249784605166,0.004251494228147554,0.4030086545603919,0.551763143222044
LightGBM,Train set,0.003748955412326622,664.0567821991785,0.0025779566976251982,0.8203955389399278,0.001703217933549505,0.20769121116850692,0.8965249346333314
LightGBM,Validation(CV),0.003881130210819257,485.2117538042565,0.002666946594638085,0.8526326529047342,0.0017553639821324975,0.2134163584980185,0.889094074259823
LightGBM,Test set,0.004768021614746956,307.9518168133385,0.0032446103534610887,0.7952054354465665,0.00212871579809431,0.21259790839113069,0.8585610170401662
LightGBM,Entire population,0.004288863299424874,486.0042995062587,0.0029112835255431448,0.8078004871932468,0.0018910310284905507,0.21015028817842002,0.8766294739134631
CatBoost,Train set,0.0003907632405649253,6.453323404821565,0.0002758946730963374,0.06577832297999242,0.0001929759705192836,0.022817926825924217,0.9988758026325029
CatBoost,Validation(CV),0.0007724046093741783,12.616484985125382,0.0004560108067574946,0.10279515776510892,0.0002745515768404436,0.03327454253682497,0.9956064487740697
CatBoost,Test set,0.0021881051929191417,4.947264305166824,0.0013505267316701428,0.19143278073452774,0.0007855858158398298,0.07952229471139277,0.9702128407388798
CatBoost,Entire population,0.0015717029371761888,5.700293854994195,0.0008132107023832403,0.12860555185726005,0.0003531006684309975,0.041531351436297895,0.9834320819329917
