Algorithm,Dataset,RMSE,MSPE,MAE,MAPE,MedAE,MedAPE,R2
Linear Regression,Train set,0.007266828274653408,34165.85795876943,0.004996707380373421,5.033131836722716,0.0036194146359249963,0.3704951755547937,0.6107382182800711
Linear Regression,Validation(CV),0.007268206841388343,37654.80645115321,0.004997390513000671,5.034809940924376,0.0036205432604141706,0.3705004209651521,0.6105787769985063
Linear Regression,Test set,1484.6607345574228,227368307390985.1,1484.6607345331158,650965.5897948537,1484.6601763108815,138845.1061538661,-13713463002.831057
Linear Regression,Entire population,1049.8136731795296,113684153712575.53,742.3328656202482,325485.3114633453,742.3563681266925,14711.970513790606,-7395349032.254226
Random Forest,Train set,0.0007840226826208785,0.23375838590414594,0.0004037806831836439,0.046032805211509834,0.0002036183495253696,0.024189809533529692,0.995468841788206
Random Forest,Validation(CV),0.0011263124472577235,0.7402677622033583,0.0005842414725533418,0.06822992382736648,0.00029570293456965236,0.034893676421959785,0.9906480679423778
Random Forest,Test set,0.002147974913352531,0.9240267231605591,0.001225355837117965,0.1268880329091996,0.0006448082995120898,0.06398727475578961,0.971295426164187
Random Forest,Entire population,0.0016168623619924878,0.5788925545323523,0.0008145682601508047,0.08646041906035472,0.0003499886422203731,0.03888468225953887,0.9824579506249508
XGBoost,Train set,0.004834215144528218,904.8060793524775,0.003271560167118268,1.06291075979025,0.002142895860333326,0.2506192575485343,0.8277322740958081
XGBoost,Validation(CV),0.00489716823440719,497.8334964394647,0.003313368363793431,0.9067221523221484,0.0021667919071702664,0.2536269468654268,0.8232126300788822
XGBoost,Test set,0.005880704632979517,89.63271223244172,0.004051583252891955,0.7070013163093541,0.0027491114657732536,0.26464963900422905,0.7848450077271435
XGBoost,Entire population,0.005382951004975466,497.2193957924595,0.003661571710005111,0.884956038049802,0.0024286928023542036,0.2575898421414037,0.8055647154502493
LightGBM,Train set,0.004526263100342593,893.4791234940761,0.003125393034351823,1.2019427465897874,0.0021019941058644798,0.24916523299971366,0.84898101010911
LightGBM,Validation(CV),0.0047333181342455516,1449.2021170802795,0.0032800814880417544,1.357708181077546,0.0022189895728280304,0.2618292516671941,0.8348451977882207
LightGBM,Test set,0.0056812726283243424,444.59843638700653,0.00387429219591012,1.0543974498819895,0.002521183145386281,0.25176514786571447,0.799190638851651
LightGBM,Entire population,0.005136337037757079,669.0387799405412,0.003499842615130972,1.1281700982358884,0.0022747357370106443,0.2505540665505238,0.822972289169932
CatBoost,Train set,0.0006273229535808434,3.3981779170385864,0.0004258067060503363,0.0870626925482738,0.00028403565959253974,0.03385097153112833,0.9970990895092896
CatBoost,Validation(CV),0.0008691027470855867,87.31242967702292,0.0005442436731857077,0.13222348175243612,0.0003408492712855138,0.04108814072859488,0.9944315951630316
CatBoost,Test set,0.0022389412989387613,10.091517439810113,0.001396503781045169,0.21655223626235598,0.0008355333574184935,0.08356911471111012,0.9688126762674718
CatBoost,Entire population,0.0016441399314205258,6.744847678424348,0.000911155243547753,0.1518074644053149,0.0004649864258167639,0.05230435889534883,0.9818610651642484
