Algorithm,Hyperparameter,Tuning Range,Best Value
MLP,n_layers,User Fixed,2
MLP,l2_regularization,User Fixed,2.737110449345973e-06
MLP,batch_normalization,User Fixed,True
MLP,hidden_activation,User Fixed,swish
MLP,dropout,User Fixed,0.22760879210163437
MLP,batch_size,User Fixed,128
MLP,optimizer,User Fixed,adam
MLP,learning_rate,User Fixed,0.00023215381225114755
MLP,first_layer_nodes,User Fixed,64
MLP,shape,User Fixed,funnel
CNN,n_layers,User Fixed,3
CNN,l2_regularization,User Fixed,0.00024489719887252153
CNN,batch_normalization,User Fixed,True
CNN,hidden_activation,User Fixed,gelu
CNN,dropout,User Fixed,0.16935277478454674
CNN,batch_size,User Fixed,32
CNN,optimizer,User Fixed,adam
CNN,learning_rate,User Fixed,0.0016573777991323766
CNN,base_filters,User Fixed,64
CNN,kernel_size,User Fixed,5
