Algorithm,Dataset,N,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F1-score,Accuracy,Balanced Accuracy,AUC
CNN,Train set,28932,14276,14141,325,190,0.977741250599274,0.9868657541822203,0.9775335268906401,0.982282313276224,0.9821996405364303,0.9821996405364302,0.9985997191046941
CNN,Test set,10274,2536,4446,2177,1115,0.538086144706132,0.6946042180224596,0.6712969953193417,0.6064084170253468,0.6795795211212771,0.6829506066709007,0.7448367745462441
CNN,Entire population,39206,16812,18587,2502,1305,0.8704566635601119,0.9279682066567313,0.8813599506851914,0.898292858860303,0.9028975156863746,0.9046640786709613,0.9523465137995748
