Algorithm,Dataset,N,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F1-score,Accuracy,Balanced Accuracy,AUC
XGBoost,Train set,28932,14463,10305,4161,3,0.7765786082474226,0.9997926171712982,0.7123600165906263,0.8741613780598368,0.8560763168809623,0.8560763168809622,0.9936640670365591
XGBoost,Test set,10274,3318,2860,3763,333,0.46857788447959325,0.9087921117502055,0.431828476521214,0.61833768169959,0.6013237298033872,0.6703102941357097,0.7961710419351931
XGBoost,Entire population,39206,17781,13165,7924,336,0.6917331258510018,0.9814538830932273,0.6242590924178482,0.8115102003559855,0.7893179615364995,0.8028564877555378,0.95629975095651
