Algorithm,Dataset,N,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F1-score,Accuracy,Balanced Accuracy,AUC
CatBoost,Train set,28932,10579,10117,4349,3887,0.7086682743837085,0.7313009816120558,0.6993640259919812,0.7198067632850241,0.7153325038020185,0.7153325038020185,0.7916932334401625
CatBoost,Test set,10274,2640,4520,2103,1011,0.5566097406704618,0.7230895645028759,0.6824701796768836,0.6290207290922087,0.6969048082538447,0.7027798720898797,0.7757323616772853
CatBoost,Entire population,39206,13219,14637,6452,4898,0.6720044735905648,0.7296461886625821,0.6940585139172081,0.6996400973854133,0.7105034943631077,0.7118523512898951,0.7872747693623934
