Algorithm,Dataset,N,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F1-score,Accuracy,Balanced Accuracy,AUC
Random Forest,Train set,28932,14190,14236,230,276,0.9840499306518724,0.9809207797594359,0.9841006497995299,0.9824828636709825,0.9825107147794829,0.9825107147794829,0.9987033675114074
Random Forest,Test set,10274,2684,4601,2022,967,0.5703357416064598,0.7351410572445906,0.6947002868790578,0.6423357664233577,0.7090714424761534,0.7149206720618242,0.7881540689709876
Random Forest,Entire population,39206,16874,18837,2252,1243,0.8822545226393391,0.9313904068002429,0.8932144719996207,0.9061568616921301,0.910855481303882,0.9123024393999317,0.9650306683932325
